DATAFLOW,LAST UPDATE,freq,age,n_lang,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Finland,2022,,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,France,2022,13.1,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Croatia,2022,5.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Hungary,2022,31.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Ireland,2022,32.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Iceland,2022,7.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Italy,2022,11.4,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Lithuania,2022,,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Luxembourg,2022,2.5,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Latvia,2022,2.7,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Malta,2022,22.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Netherlands,2022,6.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Norway,2022,,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Poland,2022,10.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Portugal,2022,13.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Romania,2022,26.4,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Serbia,2022,,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Sweden,2022,3.9,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Slovenia,2022,1.2,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Slovakia,2022,6.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Türkiye,2022,24.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Austria,2022,45.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Belgium,2022,26.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Bulgaria,2022,50.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Cyprus,2022,62.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Czechia,2022,45.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Germany,2022,31.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Denmark,2022,33.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Euro area – 20 countries (from 2023),2022,35.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Estonia,2022,20.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Greece,2022,64.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Spain,2022,45.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,European Union - 27 countries (from 2020),2022,37.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Finland,2022,13.2,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,France,2022,27.8,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Croatia,2022,51.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Hungary,2022,41.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Ireland,2022,34.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Iceland,2022,15.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Italy,2022,40.6,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Lithuania,2022,49.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Luxembourg,2022,7.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Latvia,2022,19.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Malta,2022,48.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Netherlands,2022,30.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Norway,2022,11.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Poland,2022,44.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Portugal,2022,39.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Romania,2022,45.5,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Serbia,2022,42.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Sweden,2022,43.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Slovenia,2022,18.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Slovakia,2022,27.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,1 language,Percentage,Total,Türkiye,2022,64.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Austria,2022,32.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Belgium,2022,36.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Bulgaria,2022,18.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Cyprus,2022,23.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Czechia,2022,42.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Germany,2022,37.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Denmark,2022,28.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Euro area – 20 countries (from 2023),2022,34.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Estonia,2022,50.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Greece,2022,24.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Spain,2022,24.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,European Union - 27 countries (from 2020),2022,34.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Finland,2022,33.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,France,2022,42.9,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Croatia,2022,34.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Hungary,2022,25.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Ireland,2022,27.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Iceland,2022,27.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Italy,2022,31.8,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Lithuania,2022,39.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Luxembourg,2022,15.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Latvia,2022,58.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Malta,2022,23.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Netherlands,2022,27.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Norway,2022,13.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Poland,2022,38.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Portugal,2022,36.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Romania,2022,25.9,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Serbia,2022,41.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Sweden,2022,41.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Slovenia,2022,22.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Slovakia,2022,40.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,2 languages,Percentage,Total,Türkiye,2022,9.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Austria,2022,16.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Belgium,2022,23.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Bulgaria,2022,,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Cyprus,2022,9.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Czechia,2022,5.9,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Germany,2022,25.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Denmark,2022,24.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Euro area – 20 countries (from 2023),2022,18.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Estonia,2022,26.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Greece,2022,2.4,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Spain,2022,6.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,European Union - 27 countries (from 2020),2022,16.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Finland,2022,47.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,France,2022,16.2,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Croatia,2022,8.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Hungary,2022,2.1,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Ireland,2022,5.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Iceland,2022,48.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Italy,2022,16.1,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Lithuania,2022,6.2,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Luxembourg,2022,74.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Latvia,2022,20.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Malta,2022,5.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Netherlands,2022,35.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Norway,2022,73.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Poland,2022,7.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Portugal,2022,10.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Romania,2022,2.3,bu,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Serbia,2022,,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Sweden,2022,10.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Slovenia,2022,57.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Slovakia,2022,24.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,3 languages or more,Percentage,Total,Türkiye,2022,1.4,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Austria,2022,10.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Belgium,2022,20.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Bulgaria,2022,49.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Cyprus,2022,7.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Czechia,2022,20.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Germany,2022,11.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Denmark,2022,10.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Euro area – 20 countries (from 2023),2022,22.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Estonia,2022,4.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Greece,2022,26.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Spain,2022,41.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,European Union - 27 countries (from 2020),2022,23.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Finland,2022,7.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,France,2022,21.2,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Croatia,2022,18.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Hungary,2022,49.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Ireland,2022,36.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Iceland,2022,11.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Italy,2022,29.7,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Lithuania,2022,4.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Luxembourg,2022,5.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Latvia,2022,4.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Malta,2022,20.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Netherlands,2022,7.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Norway,2022,1.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Poland,2022,25.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Portugal,2022,28.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Romania,2022,48.2,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Serbia,2022,11.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Sweden,2022,4.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Slovenia,2022,3.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Slovakia,2022,13.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,No languages,Percentage,Total,Türkiye,2022,42.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Austria,2022,52.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Belgium,2022,25.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Bulgaria,2022,36.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Cyprus,2022,61.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Czechia,2022,46.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Germany,2022,40.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Denmark,2022,29.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Euro area – 20 countries (from 2023),2022,36.3,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Estonia,2022,19.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Greece,2022,56.0,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Spain,2022,35.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,European Union - 27 countries (from 2020),2022,37.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Finland,2022,19.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,France,2022,33.5,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Croatia,2022,50.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Hungary,2022,31.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Ireland,2022,33.9,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Iceland,2022,20.4,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Italy,2022,37.9,b,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Lithuania,2022,39.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 64 years,1 language,Percentage,Total,Luxembourg,2022,16.1,,
